1266,  42900,  completed,  eof,  2018-08-21 07:21:46,  2018-08-21 07:22:43,  57,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0938210840883.modelParams|sensorParams|encoders|sine:n_485.modelParams|spParams|synPermInactiveDec_0.00142878711074,  3000,  11,  16,  5,  0.0938210840883,  485,  0.00142878711074,  0.0225799865078,  1.18267443875, 
1266,  42901,  completed,  eof,  2018-08-21 07:21:51,  2018-08-21 07:22:48,  57,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0965029214563.modelParams|sensorParams|encoders|sine:n_493.modelParams|spParams|synPermInactiveDec_0.000376188302692,  3000,  12,  16,  5,  0.0965029214563,  493,  0.000376188302692,  0.0222213908292,  1.16389223342, 
1266,  42902,  completed,  eof,  2018-08-21 07:22:07,  2018-08-21 07:23:05,  58,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|sine:n_521.modelParams|spParams|synPermInactiveDec_0.00653125,  3000,  12,  16,  5,  0.1,  521,  0.00653125,  0.0212105784677,  1.1109488031, 
1266,  42903,  completed,  killed,  2018-08-21 07:22:17,  2018-08-21 07:23:05,  48,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0825244477419.modelParams|sensorParams|encoders|sine:n_435.modelParams|spParams|synPermInactiveDec_0.0173021993728,  2650,  12,  16,  5,  0.0825244477419,  435,  0.0173021993728,  0.0266835612251,  1.61262441162, 
1266,  42904,  completed,  killed,  2018-08-21 07:22:38,  2018-08-21 07:23:05,  27,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0838577552672.modelParams|sensorParams|encoders|sine:n_438.modelParams|spParams|synPermInactiveDec_0.0170605261226,  1200,  12,  16,  5,  0.0838577552672,  438,  0.0170605261226,  0.0547441539956,  7.1683514491, 
1266,  42905,  completed,  killed,  2018-08-21 07:22:43,  2018-08-21 07:23:05,  22,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0857765765449.modelParams|sensorParams|encoders|sine:n_449.modelParams|spParams|synPermInactiveDec_0.0173246905845,  800,  12,  16,  5,  0.0857765765449,  449,  0.0173246905845,  0.0851540721761,  13.3636471686, 
1266,  42906,  completed,  killed,  2018-08-21 07:22:48,  2018-08-21 07:23:05,  17,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0884575111487.modelParams|sensorParams|encoders|sine:n_451.modelParams|spParams|synPermInactiveDec_0.0084245450741,  550,  12,  16,  5,  0.0884575111487,  451,  0.0084245450741,  0.118622313689,  18.6053923398, 


jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|data:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=data,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=data, 
1267,  42907,  completed,  eof,  2018-09-18 04:22:59,  2018-09-18 04:24:26,  87,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015.modelParams|sensorParams|encoders|data:n_272,  4000,  11,  14,  3,  0.05005,  272,  0.05015,  5.27009725498,  4.16825953065, 
1267,  42978,  completed,  eof,  2018-09-18 04:23:00,  2018-09-18 04:23:56,  56,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_22,  4000,  9,  12,  1,  0.0001,  22,  0.1,  5.40195141106,  4.27254647568, 
1267,  43039,  completed,  eof,  2018-09-18 04:23:00,  2018-09-18 04:24:31,  91,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003.modelParams|sensorParams|encoders|data:n_521,  4000,  12,  16,  5,  0.1,  521,  0.0003,  5.41,  4.27891231789, 
1267,  43090,  completed,  eof,  2018-09-18 04:23:01,  2018-09-18 04:24:00,  59,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075.modelParams|sensorParams|encoders|data:n_147,  4000,  10,  13,  2,  0.025075,  147,  0.075075,  5.68722913163,  4.49818018225, 
1267,  43131,  completed,  eof,  2018-09-18 04:23:01,  2018-09-18 04:24:37,  96,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225.modelParams|sensorParams|encoders|data:n_396,  4000,  11,  15,  4,  0.075025,  396,  0.025225,  5.18700210592,  4.10253737596, 
1267,  43162,  completed,  eof,  2018-09-18 04:23:57,  2018-09-18 04:24:47,  50,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_47,  4000,  9,  12,  1,  0.0001,  47,  0.1,  3.71,  2.93433728269, 
1267,  43163,  completed,  eof,  2018-09-18 04:24:00,  2018-09-18 04:24:47,  47,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0950683922224.modelParams|sensorParams|encoders|data:n_22,  4000,  9,  12,  1,  0.0001,  22,  0.0950683922224,  5.40195141106,  4.27254647568, 
