seconds,predicted,anomalyScore,anomalyLikelihood
float,float,int,float
,,,
0.0,0.0,1.0,0.5
0.06279051952931337,0.06279051952931337,1.0,0.5
0.12533323356430426,0.12533323356430426,1.0,0.5
0.1873813145857246,0.1873813145857246,1.0,0.5
0.2486898871648548,0.1873813145857246,1.0,0.5
0.3090169943749474,0.1873813145857246,1.0,0.5
0.3681245526846779,0.3681245526846779,1.0,0.5
0.42577929156507266,0.3681245526846779,1.0,0.5
0.4817536741017153,0.4817536741017153,1.0,0.5
0.5358267949789967,0.4817536741017153,1.0,0.5
0.5877852522924731,0.5877852522924731,1.0,0.5
0.6374239897486896,0.6374239897486896,1.0,0.5
0.6845471059286886,0.6374239897486896,1.0,0.5
0.7289686274214116,0.7289686274214116,1.0,0.5
0.7705132427757891,0.7289686274214116,1.0,0.5
0.8090169943749473,0.7705132427757891,1.0,0.5
0.8443279255020151,0.8090169943749473,1.0,0.5
0.8763066800438637,0.8443279255020151,1.0,0.5
0.9048270524660196,0.8763066800438637,1.0,0.5
0.9297764858882513,0.9048270524660196,1.0,0.5
0.9510565162951535,0.9297764858882513,1.0,0.5
0.9685831611286311,0.9510565162951535,1.0,0.5
0.9822872507286886,0.9685831611286311,1.0,0.5
0.9921147013144778,0.9822872507286886,0.925,0.5
0.9980267284282716,0.9921147013144778,0.65,0.5
1.0,0.9980267284282716,0.025,0.5
0.9980267284282716,0.9986187098997901,0.0,0.5
0.9921147013144779,0.9984411154583346,0.0,0.5
0.9822872507286887,0.9921147013144778,0.025,0.5
0.9685831611286311,0.9921147013144778,0.1,0.5
0.9510565162951536,0.9822872507286886,0.1,0.5
0.9297764858882515,0.9685831611286311,0.425,0.5
0.9048270524660195,0.9510565162951534,0.55,0.5
0.8763066800438635,0.9297764858882513,0.55,0.5
0.844327925502015,0.9048270524660196,0.725,0.5
0.8090169943749475,0.8763066800438636,0.725,0.5
0.7705132427757893,0.844327925502015,0.825,0.5
0.7289686274214116,0.8090169943749473,0.925,0.5
0.6845471059286888,0.7705132427757891,0.925,0.5
0.6374239897486899,0.7289686274214116,0.95,0.5
0.5877852522924732,0.6845471059286886,0.95,0.5
0.535826794978997,0.6374239897486896,1.0,0.5
0.4817536741017152,0.5877852522924731,0.95,0.5
0.4257792915650729,0.5358267949789968,0.925,0.5
0.36812455268467814,0.4817536741017153,0.975,0.5
0.3090169943749475,0.4257792915650727,0.95,0.5
0.24868988716485524,0.368124552684678,0.975,0.5
0.18738131458572455,0.30901699437494745,0.975,0.5
0.12533323356430454,0.2486898871648549,0.95,0.5
0.06279051952931358,0.1873813145857246,0.975,0.5
1.2246467991473532e-16,0.12533323356430434,0.975,0.5
-0.06279051952931333,0.12533323356430434,0.95,0.5
-0.1253332335643043,0.4817536741017153,1.0,0.5
-0.18738131458572477,0.7705132427757891,1.0,0.5
-0.24868988716485457,0.7289686274214116,1.0,0.5
-0.3090169943749473,0.4817536741017153,1.0,0.5
-0.3681245526846779,-0.3681245526846779,1.0,0.5
-0.42577929156507227,0.4817536741017153,1.0,0.5
-0.4817536741017154,0.1873813145857246,1.0,0.5
-0.5358267949789964,0.7289686274214116,1.0,0.5
-0.5877852522924727,0.5358267949789968,1.0,0.5
-0.6374239897486896,0.7289686274214116,1.0,0.5
-0.6845471059286884,0.6374239897486896,1.0,0.5
-0.7289686274214116,0.4817536741017153,1.0,0.5
-0.7705132427757894,-0.7705132427757894,1.0,0.5
-0.8090169943749473,-0.42577929156507227,1.0,0.5
-0.8443279255020153,0.8763066800438636,1.0,0.5
-0.8763066800438636,0.8763066800438636,1.0,0.5
-0.9048270524660198,-0.8443279255020153,1.0,0.5
-0.9297764858882515,-0.8763066800438636,1.0,0.5
-0.9510565162951535,-0.9048270524660198,1.0,0.5
-0.9685831611286312,-0.9297764858882515,1.0,0.5
-0.9822872507286887,-0.9510565162951535,1.0,0.5
-0.9921147013144778,-0.9685831611286312,0.9,0.5
-0.9980267284282716,-0.9822872507286887,0.75,0.5
-1.0,-0.5358267949789964,0.125,0.5
-0.9980267284282716,-0.9980267284282716,0.0,0.5
-0.9921147013144779,-0.9921147013144779,0.0,0.5
-0.9822872507286887,-0.9822872507286887,0.0,0.5
-0.9685831611286311,-0.9822872507286887,0.125,0.5
-0.9510565162951536,-0.9685831611286311,0.125,0.5
-0.9297764858882516,-0.9510565162951534,0.35,0.5
-0.9048270524660199,-0.9048270524660199,0.325,0.5
-0.8763066800438634,-0.7289686274214116,0.55,0.5
-0.8443279255020151,-0.8443279255020151,0.875,0.5
-0.8090169943749476,-0.8090169943749473,0.775,0.5
-0.7705132427757896,-0.7705132427757896,0.925,0.5
-0.7289686274214122,-0.7289686274214116,0.875,0.5
-0.684547105928689,-0.6845471059286884,0.9,0.5
-0.6374239897486896,-0.6374239897486896,1.0,0.5
-0.5877852522924732,-0.5877852522924727,0.925,0.5
-0.5358267949789971,-0.5358267949789964,0.975,0.5
-0.4817536741017161,-0.3681245526846779,0.95,0.5
-0.425779291565073,-0.42577929156507227,0.975,0.5
-0.3681245526846778,-0.3681245526846779,1.0,0.5
-0.3090169943749476,-0.3090169943749473,0.975,0.5
-0.24868988716485535,-0.24868988716485457,0.975,0.5
-0.18738131458572468,-0.18738131458572477,0.975,0.5
-0.12533323356430467,-0.12533323356430467,0.975,0.5
-0.06279051952931326,-0.06279051952931333,1.0,0.5
-2.4492935982947064e-16,0.06279051952931343,0.975,0.5
0.06279051952931276,0.12533323356430434,0.0,0.5
0.12533323356430418,0.1873813145857246,0.025,0.5
0.1873813145857242,0.2486898871648549,0.0,0.5
0.2486898871648549,0.30901699437494745,0.05,0.5
0.3090169943749472,0.368124552684678,0.05,0.5
0.36812455268467825,0.4257792915650727,0.05,0.5
0.4257792915650726,0.4817536741017153,0.075,0.5
0.48175367410171493,0.5358267949789968,0.05,0.5
0.535826794978996,0.5877852522924731,0.075,0.5
0.5877852522924729,0.6374239897486896,0.075,0.5
0.63742398974869,0.6845471059286886,0.05,0.5
0.6845471059286886,0.7289686274214116,0.075,0.5
0.7289686274214111,0.7705132427757891,0.05,0.5
0.7705132427757887,0.8090169943749473,0.15,0.5
0.8090169943749478,0.8090169943749473,0.35,0.5
0.8443279255020152,0.844327925502015,0.1,0.5
0.8763066800438635,0.8763066800438636,0.125,0.5
0.9048270524660194,0.9048270524660196,0.125,0.5
0.9297764858882511,0.9510565162951534,0.025,0.5
0.9510565162951532,0.9685831611286311,0.15,0.5
0.9685831611286312,0.9685831611286311,0.0,0.5
0.9822872507286886,0.9685831611286311,0.0,0.5
0.9921147013144778,0.9822872507286886,0.0,0.5
0.9980267284282716,0.9921147013144778,0.0,0.5
1.0,0.9983167993493156,0.0,0.5
0.9980267284282716,0.9988217595445208,0.0,0.5
0.9921147013144779,0.9985832502096459,0.0,0.5
0.9822872507286886,0.9921147013144778,0.0,0.5
0.9685831611286311,0.9822872507286886,0.0,0.5
0.9510565162951536,0.9685831611286311,0.0,0.5
0.9297764858882517,0.9510565162951534,0.05,0.5
0.9048270524660192,0.9297764858882513,0.0,0.5
0.8763066800438635,0.9297764858882513,0.0,0.5
0.8443279255020151,0.8763066800438635,0.0,0.5
0.8090169943749477,0.8090169943749477,0.025,0.5
0.7705132427757886,0.770513242775789,0.0,0.5
0.728968627421411,0.7705132427757888,0.025,0.5
0.6845471059286884,0.7289686274214112,0.0,0.5
0.6374239897486896,0.6845471059286885,0.0,0.5
0.5877852522924734,0.6374239897486897,0.025,0.5
0.5358267949789972,0.5877852522924731,0.0,0.5
0.4817536741017146,0.5358267949789967,0.0,0.5
0.4257792915650723,0.481753674101715,0.0,0.5
0.368124552684678,0.42577929156507255,0.0,0.5
0.3090169943749478,0.36812455268467803,0.025,0.5
0.2486898871648555,0.30901699437494745,0.0,0.5
